wallet,num_borrow,num_deposit,num_redeemunderlying,num_repay,total_borrow,total_deposit,total_redeemunderlying,total_repay,avg_tx_gap_sec,repay_borrow_ratio,total_transactions,activity_score,net_borrow,borrow_to_deposit_ratio,deposit_frequency,repay_frequency,repayment_efficiency,avg_repay_per_tx
0x02a06a60b8b437bf6cf79d0a5933908525a139e5,0,1,0,0,0.0,1.0973150530597586,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x02a0788f463bf8fa2754fa49cd89cb1e079ca046,0,1,0,0,0.0,1.1112748754792856,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x02a0f1a59940dddb35a38327e93d7abb49e285b1,20,22,14,59,3377438498245565.0,1.2363566708731154e+16,7006481868081007.0,400953302996863.94,89058.41228070176,0.11871520479355643,115,0.0012912728374799673,2976485195248701.0,0.2731767116895496,0.00024702610803964593,0.5086206896551724,0.11871520479355639,6682555049947.732
0x02a15e66e82fbf790b363a7c2786dc3b8d053425,0,1,0,0,0.0,1698584524.8176577,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x02a16e93539e8043766befc1d941835ef18a77d9,4,5,4,3,11711.79272722734,3184958612497930.0,3166088023950218.0,11217.198468107952,53192.13333333333,0.9577695515418776,16,0.0003007907035619886,494.59425911938706,3.6772197545267e-12,9.399709486312143e-05,0.17647058823529413,0.9576877803047485,2804.299617026988
0x02a16f8df2b11b3a0c9f47cc5d705830792e3e6f,117,111,34,78,3241726192399088.0,1487397274243731.0,505454606132085.44,2960695284203498.0,12183.005479452055,0.9133082526048849,366,0.030039382419619523,281030908195590.0,2.1794622381887487,0.00911030450431084,0.2125340599455041,0.9133082526048846,37477155496246.81
0x02a1da62dca18761b1e0f8a7bb5d0a596f58a815,0,2,0,0,0.0,4405911197217240.0,0.0,0.0,42.0,0.0,2,0.046511627906976744,0.0,0.0,0.046511627906976744,0.0,0.0,0.0
0x02a298c6b33b6505e15faacf4f52ffcf1c43d4b7,3,9,4,2,1082790048756590.0,2191740754146953.5,1955936897611144.5,910518272076935.0,490171.76470588235,0.8409001108964,18,3.672174648626289e-05,172271776679655.0,0.49403199110472434,1.8360873243131445e-05,0.10526315789473684,0.8409001108963993,303506090692311.7
0x02a4ac561a49bd3f4a51f97b8f5d697a4eeea26c,0,70,0,0,0.0,260675692.1801678,0.0,0.0,27796.231884057972,0.0,70,0.002518236358640653,0.0,0.0,0.002518236358640653,0.0,0.0,0.0
0x02a4b730674d63f39160a55a73f2d3557a230c1f,0,2,3,0,0.0,152583090583817.75,1711.7771568839848,0.0,215843.75,0.0,5,2.3164797846600392e-05,0.0,0.0,9.265919138640156e-06,0.0,0.0,0.0
0x02a5948adf2f74c62c6feb8282786e4303e5275d,0,1,0,0,0.0,1188650795292.2615,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x02a5c129419ffe445e6c07357715994a513741f6,24,39,3,11,268750148365122.62,1.169211238062859e+16,273522890516607.4,271073342147253.8,97394.52564102564,1.0086444372078072,79,0.0008111255571551949,-2323193782131.1875,0.02298559401553358,0.0004004290725196532,0.1375,1.0086444372078036,22589445178937.816
0x02a5f4b01a1e60c1c1e96b7e5ccff7b083af88b1,2,3,2,2,4485.694284322616,1.0730369896541102e+16,49569.91701870131,502.2126832679119,634302.875,0.11195874070667992,9,1.4188782939407394e-05,3983.4816010547042,4.180372463924625e-13,4.729594313135798e-06,0.2,0.11193378720336282,167.40422775597065
0x02a73cd5c9135b68798838407a136b41ddea3c5e,23,44,4,16,3841654444718881.5,5102080603339348.0,2305387993762742.5,2358409011607077.5,56547.976744186046,0.6139045157612184,87,0.0015384893769796587,1483245433111804.0,0.7529583994036649,0.0007780865814609768,0.18181818181818182,0.6139045157612183,138729941859239.86
0x02a73d22bd486381e61eca664377a06c446d5316,0,2,0,0,0.0,2.0467036636515523,0.0,0.0,425336.0,0.0,2,4.702153821557965e-06,0.0,0.0,4.702153821557965e-06,0.0,0.0,0.0
0x02a7c650e9a1a2d66deab637c07e1d627587c083,10,75,0,0,5.726480784720634e+16,4.535459728109605e+17,0.0,0.0,90594.38636363637,0.0,89,0.0009823899822311842,5.726480784720634e+16,0.12626020575663782,0.0008278567265993126,0.0,0.0,0.0
0x02a7d44b26eb2d8db454dbf7b9411ca9346cb1fb,0,1,0,0,0.0,1.023023295310086,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x02a7d80d21a3ab1719dd16ab66d716e588d79595,1,5,0,0,1222879953214931.8,4430154536829077.5,0.0,0.0,896493.8,0.0,6,6.692732629347097e-06,1222879953214931.8,0.2760355068990931,5.577277191122581e-06,0.0,0.0,0.0
0x02a804c44c2ea1f8668904b3f52db0b41cd3782b,0,1,0,0,0.0,1077800843233.6694,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x02a83b64466333f227303407d37c7e8e8fefd5b6,0,36,17,0,0.0,2.4832810909867805e+17,2.3546575788127226e+17,0.0,70027.63461538461,0.0,53,0.0007568332624374261,0.0,0.0,0.0005140754235424027,0.0,0.0,0.0
0x02a84f912d51ca31f8505789c648b842c576cf45,0,2,0,0,0.0,3141692425910.3867,0.0,0.0,141701.0,0.0,2,1.4114126829543691e-05,0.0,0.0,1.4114126829543691e-05,0.0,0.0,0.0
0x02a8f422e4623cf409b2a1a64a603b16357ea9da,8,34,5,5,57331377830710.836,461072367872454.25,9872505523306.643,37.94186389121059,112036.92156862745,6.61799268164216e-13,52,0.0004641285671133058,57331377830672.89,0.12434355607831654,0.0003034686784971615,0.09433962264150944,6.617992681642044e-13,6.323643981868432
0x02a904869e43d0be61a71f2e6e7af45f9dd27988,3,11,5,3,1.4802625658970928e+17,1.607709398664725e+17,6.837136385768663e+16,6.038760923239358e+16,299091.09523809527,0.4079520121877601,22,7.355593929183143e-05,8.76386473573157e+16,0.9207276931555649,3.6777969645915715e-05,0.13043478260869565,0.4079520121877601,1.5096902308098396e+16
0x02a9cc149af402d3be54456c16da64f5004d467d,0,2,0,0,0.0,2275795786226.5234,0.0,0.0,242593.0,0.0,2,8.244226980057214e-06,0.0,0.0,8.244226980057214e-06,0.0,0.0,0.0
0x02aa6d3779d28383d69cd4221cd7dc2685011337,10,6,7,5,700065266883707.9,6758320094795519.0,6699151196075288.0,708047071773428.2,153352.03703703705,1.0114015153547766,28,0.00018258523300870513,-7981804889720.375,0.10358569245970127,3.912540707329396e-05,0.1724137931034483,1.011401515354775,118007845295571.38
0x02ab1b3a8ac8e1aa17756058e67ef68be0508a2d,0,0,2,0,0.0,0.0,39048993.01626696,0.0,1520633.0,0.0,2,1.3152408797909294e-06,0.0,0.0,0.0,0.0,0.0,0.0
0x02ab74c629a0cb6e86e3cddaabfe05ca79a73bb1,0,2,0,0,0.0,2.2434493444979644,0.0,0.0,583305.0,0.0,2,3.428732089160749e-06,0.0,0.0,3.428732089160749e-06,0.0,0.0,0.0
0x02abe3cc8093daacee107e802ee44cb5f1379e1a,0,0,3,0,0.0,0.0,1212215091491769.8,0.0,490.0,0.0,3,0.006109979633401222,0.0,0.0,0.0,0.0,0.0,0.0
0x02ac4c9dca975e634793849092d2d5eac8d088c2,1,5,1,0,20113609616199.156,266473196188884.53,530.1338514561944,0.0,907627.6666666666,0.0,7,7.712405146598131e-06,20113609616199.156,0.07548079845877603,5.508860818998665e-06,0.0,0.0,0.0
0x02ac7fe137f02f295382a5b9d298ceac978c96ad,0,2,0,0,0.0,972549246416.4862,0.0,0.0,707216.0,0.0,2,2.8279863182021927e-06,0.0,0.0,2.8279863182021927e-06,0.0,0.0,0.0
0x02acfb247839cf5215aec318227dda400011e2ef,0,1,0,0,0.0,1.029154223521318,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x02ad56758fef56099cf57531d0c97bb1aa1f076e,18,38,24,15,42263.313630228935,1.0893715089022693e+17,7.51865510413866e+16,35955.568644518266,115864.14893617021,0.8507512912759628,95,0.000819918680226573,6307.744985710669,3.8796051929810933e-13,0.0003279674720906292,0.15625,0.8507311619702151,2247.2230402823916
0x02ada5d70b06b6db17011ed129b9b1738de45538,0,0,2,0,0.0,0.0,7044835251491209.0,0.0,164.0,0.0,2,0.012121212121212121,0.0,0.0,0.0,0.0,0.0,0.0
0x02aee0ce756fa0157294ff3ff48c1dd02adccf04,10,73,18,15,4.136292790346755e+16,3.082833255314971e+17,1.5715322258897264e+17,4.141499105380355e+16,106216.60869565218,1.0012586911269314,116,0.0010920976420433033,-52063150336000.0,0.13417179742743346,0.000687268343699665,0.1282051282051282,1.0012586911269314,2588436940862722.0
